Week,Search_Volume
2022-01-02,43
2022-01-09,8
2022-01-16,0
2022-01-23,6
2022-01-30,9
2022-02-06,0
2022-02-13,10
2022-02-20,4
2022-02-27,11
2022-03-06,10
2022-03-13,19
2022-03-20,7
2022-03-27,3
2022-04-03,10
2022-04-10,7
2022-04-17,5
2022-04-24,15
2022-05-01,5
2022-05-08,12
2022-05-15,6
2022-05-22,5
2022-05-29,5
2022-06-05,1
2022-06-12,14
2022-06-19,8
2022-06-26,17
2022-07-03,3
2022-07-10,0
2022-07-17,1
2022-07-24,6
2022-07-31,2
2022-08-07,16
2022-08-14,15
2022-08-21,24
2022-08-28,6
2022-09-04,8
2022-09-11,10
2022-09-18,23
2022-09-25,17
2022-10-02,18
2022-10-09,20
2022-10-16,12
2022-10-23,19
2022-10-30,35
2022-11-06,33
2022-11-13,32
2022-11-20,29
2022-11-27,32
2022-12-04,40
2022-12-11,39
2022-12-18,38
2022-12-25,35
2023-01-01,38
2023-01-08,12
2023-01-15,10
2023-01-22,8
2023-01-29,10
2023-02-05,6
2023-02-12,1
2023-02-19,5
2023-02-26,7
2023-03-05,7
2023-03-12,5
2023-03-19,6
2023-03-26,6
2023-04-02,9
2023-04-09,3
2023-04-16,5
2023-04-23,18
2023-04-30,3
2023-05-07,9
2023-05-14,12
2023-05-21,11
2023-05-28,4
2023-06-04,13
2023-06-11,8
2023-06-18,11
2023-06-25,3
2023-07-02,19
2023-07-09,2
2023-07-16,0
2023-07-23,14
2023-07-30,14
2023-08-06,4
2023-08-13,13
2023-08-20,0
2023-08-27,3
2023-09-03,12
2023-09-10,18
2023-09-17,13
2023-09-24,16
2023-10-01,20
2023-10-08,13
2023-10-15,20
2023-10-22,25
2023-10-29,21
2023-11-05,25
2023-11-12,30
2023-11-19,33
2023-11-26,42
2023-12-03,39
2023-12-10,37
2023-12-17,38
2023-12-24,37
2023-12-31,37
2024-01-07,0
2024-01-14,17
2024-01-21,7
2024-01-28,11
2024-02-04,13
2024-02-11,10
2024-02-18,14
2024-02-25,10
2024-03-03,14
2024-03-10,12
2024-03-17,2
2024-03-24,9
2024-03-31,8
2024-04-07,9
2024-04-14,14
2024-04-21,14
2024-04-28,8
2024-05-05,7
2024-05-12,8
2024-05-19,14
2024-05-26,13
2024-06-02,0
2024-06-09,4
2024-06-16,1
2024-06-23,6
2024-06-30,12
2024-07-07,7
2024-07-14,8
2024-07-21,1
2024-07-28,5
2024-08-04,15
2024-08-11,11
2024-08-18,1
2024-08-25,3
2024-09-01,17
2024-09-08,2
2024-09-15,9
2024-09-22,10
2024-09-29,5
2024-10-06,18
2024-10-13,22
2024-10-20,30
2024-10-27,22
2024-11-03,33
2024-11-10,30
2024-11-17,25
2024-11-24,32
2024-12-01,41
2024-12-08,47
2024-12-15,36
2024-12-22,37
2024-12-29,43
2025-01-05,13
2025-01-12,10
2025-01-19,15
2025-01-26,11
2025-02-02,14
2025-02-09,12
2025-02-16,8
2025-02-23,7
2025-03-02,3
2025-03-09,9
2025-03-16,17
2025-03-23,18
2025-03-30,5
2025-04-06,17
2025-04-13,4
2025-04-20,9
2025-04-27,10
2025-05-04,5
2025-05-11,8
2025-05-18,3
2025-05-25,16
