Week,Search_Volume
2022-01-02,26
2022-01-09,9
2022-01-16,17
2022-01-23,13
2022-01-30,8
2022-02-06,16
2022-02-13,24
2022-02-20,8
2022-02-27,21
2022-03-06,11
2022-03-13,22
2022-03-20,11
2022-03-27,2
2022-04-03,7
2022-04-10,5
2022-04-17,18
2022-04-24,11
2022-05-01,0
2022-05-08,19
2022-05-15,12
2022-05-22,15
2022-05-29,10
2022-06-05,17
2022-06-12,18
2022-06-19,14
2022-06-26,14
2022-07-03,9
2022-07-10,5
2022-07-17,19
2022-07-24,15
2022-07-31,30
2022-08-07,22
2022-08-14,26
2022-08-21,26
2022-08-28,37
2022-09-04,26
2022-09-11,31
2022-09-18,36
2022-09-25,40
2022-10-02,29
2022-10-09,48
2022-10-16,39
2022-10-23,36
2022-10-30,41
2022-11-06,35
2022-11-13,39
2022-11-20,34
2022-11-27,33
2022-12-04,29
2022-12-11,32
2022-12-18,21
2022-12-25,13
2023-01-01,15
2023-01-08,14
2023-01-15,13
2023-01-22,14
2023-01-29,15
2023-02-05,7
2023-02-12,6
2023-02-19,11
2023-02-26,12
2023-03-05,12
2023-03-12,10
2023-03-19,14
2023-03-26,10
2023-04-02,11
2023-04-09,3
2023-04-16,16
2023-04-23,7
2023-04-30,2
2023-05-07,7
2023-05-14,12
2023-05-21,9
2023-05-28,16
2023-06-04,13
2023-06-11,15
2023-06-18,10
2023-06-25,12
2023-07-02,8
2023-07-09,13
2023-07-16,20
2023-07-23,10
2023-07-30,17
2023-08-06,22
2023-08-13,28
2023-08-20,25
2023-08-27,31
2023-09-03,26
2023-09-10,38
2023-09-17,38
2023-09-24,31
2023-10-01,38
2023-10-08,34
2023-10-15,34
2023-10-22,34
2023-10-29,24
2023-11-05,38
2023-11-12,30
2023-11-19,18
2023-11-26,29
2023-12-03,13
2023-12-10,22
2023-12-17,20
2023-12-24,10
2023-12-31,16
2024-01-07,7
2024-01-14,5
2024-01-21,7
2024-01-28,7
2024-02-04,13
2024-02-11,7
2024-02-18,15
2024-02-25,13
2024-03-03,7
2024-03-10,13
2024-03-17,11
2024-03-24,6
2024-03-31,10
2024-04-07,15
2024-04-14,4
2024-04-21,6
2024-04-28,11
2024-05-05,13
2024-05-12,19
2024-05-19,4
2024-05-26,14
2024-06-02,11
2024-06-09,7
2024-06-16,11
2024-06-23,16
2024-06-30,14
2024-07-07,15
2024-07-14,18
2024-07-21,17
2024-07-28,23
2024-08-04,20
2024-08-11,25
2024-08-18,34
2024-08-25,32
2024-09-01,36
2024-09-08,45
2024-09-15,34
2024-09-22,42
2024-09-29,39
2024-10-06,33
2024-10-13,44
2024-10-20,46
2024-10-27,35
2024-11-03,31
2024-11-10,37
2024-11-17,23
2024-11-24,37
2024-12-01,27
2024-12-08,23
2024-12-15,26
2024-12-22,22
2024-12-29,17
2025-01-05,13
2025-01-12,14
2025-01-19,9
2025-01-26,11
2025-02-02,14
2025-02-09,13
2025-02-16,0
2025-02-23,11
2025-03-02,11
2025-03-09,6
2025-03-16,10
2025-03-23,9
2025-03-30,19
2025-04-06,17
2025-04-13,4
2025-04-20,12
2025-04-27,5
2025-05-04,24
2025-05-11,12
2025-05-18,4
2025-05-25,3
